id,order_id,product_id,quantity,price
1301,964,3135,1,4352
1324,985,3216,1,1693
1340,999,2709,1,3080
1353,1006,3266,1,1190
1354,1006,3269,1,1190
1418,1055,2458,3,2720
1430,1062,3267,1,1190
1431,1062,3268,1,1190
1449,1076,3237,1,7990
1508,1125,3436,1,3434
1531,1139,3635,1,1292
1572,1160,3442,1,8126
1581,1167,3479,1,9520
1650,1209,2622,1,3740
1746,1279,3746,1,2380
1756,1286,3888,1,3842
1813,1321,1736,1,2380
1822,1328,3927,1,3461
1833,1335,3941,1,2040
1879,1363,875,1,10506
1895,1377,4151,1,2244
1924,1391,2385,1,8772
1934,1398,3268,1,1190
1944,1405,4383,1,1190
1945,1405,4382,1,1190
1967,1419,3942,1,2040
2008,1454,3080,1,1836
2022,1461,1712,1,3393
2049,1482,3143,1,4896
2064,1496,4160,1,2244
2065,1496,4156,1,2244
2084,1510,4666,1,2040
2148,1559,4658,1,2040
2156,1566,4657,1,2040
2182,1587,4056,1,3060
2250,1636,4157,1,2244
2273,1657,4180,1,10846
2283,1664,4153,1,2244
2297,1678,4818,1,1496
2332,1706,3748,1,2380
2349,1720,4820,1,1496
2373,1734,4160,1,2244
2390,1748,4770,1,3060
2401,1755,4819,1,1496
2440,1783,4159,2,2244
2455,1797,4821,1,1496
2471,1811,4234,1,3733
2487,1825,4976,1,3393
2517,1846,4700,1,2720
2537,1860,4918,1,2720
2558,1867,4361,1,3060
2567,1874,4818,1,1496
2617,1916,4153,1,2244
2626,1923,4818,1,1496
2635,1930,3834,1,5780
2666,1951,4768,1,3060
2669,1951,4771,1,3060
2676,1951,4772,1,3060
2678,1951,4768,1,3060
2681,1951,4771,1,3060
2683,1951,4772,1,3060
2814,2056,4820,1,1496
2823,2063,4772,1,3060
2843,2077,5507,1,4073
2954,2154,5436,1,2924
2975,2168,5707,1,6460
2999,2189,5756,1,9520
3070,2238,6175,1,5644
3098,2259,5335,1,4420
3124,2280,5706,1,6460
3147,2294,5965,1,1020
3148,2294,5968,1,1020
3160,2301,3831,1,5780
3162,2301,3833,1,5780
3247,2364,5499,1,4073
3254,2371,6278,1,1578
3269,2385,5610,1,2720
3321,2427,6237,1,1802
3398,2483,6103,1,1700
3427,2504,4567,1,1686
3434,2511,6481,1,2720
3442,2518,6295,1,1700
3617,2616,5216,1,7786
3635,2630,6549,1,2373
3651,2637,6855,1,8738
3664,2644,6100,1,1700
3726,2700,6113,1,5093
3773,2735,6233,1,2448
3882,2812,6278,1,1578
3890,2819,6546,1,2373
3964,2875,6550,1,2373
4009,2910,6113,1,5093
4018,2917,6102,1,1700
4038,2931,5979,1,3740
4052,2945,5419,1,3264
4108,2987,6278,1,1578
4121,2994,6530,1,7500
4150,3015,6283,1,1578
4173,3036,3860,1,4896
4196,3057,7611,1,3400
4267,3113,7389,1,5868
4268,3113,7390,1,5868
4346,3169,4552,1,2244
4363,3183,6774,1,2040
4372,3190,7753,1,2040
4382,3197,7704,1,1000
4430,3232,7494,1,2516
