"plant_code","tech","mw_cap","cap_fac","heat_rate"
55545,"Natural Gas Fired Combined Cycle",551.3,0.578201386451462,5892.54514127385
55554,"Landfill Gas",6.8,0.530419016921837,13660.7798455501
55581,"Onshore Wind Turbine",278,0.192531043658224,9231.99969287666
55588,"Landfill Gas",4,0.174914383561644,13449.0128895415
55708,"Wood/Wood Waste Biomass",114,0.0987853480733798,16472.3216186354
55747,"Onshore Wind Turbine",82.5,0.211263318112633,9231.9950222688
55795,"Onshore Wind Turbine",78,0.218133122585177,9232.015619339
55796,"Onshore Wind Turbine",82,0.228066878271522,9232.00976651915
55968,"Onshore Wind Turbine",150,0.323509893455099,9232.00154319536
55992,"Onshore Wind Turbine",160.5,0.299094581715245,9231.9979263818
56111,"Onshore Wind Turbine",160,0.329596175799087,9231.99960169884
56113,"Landfill Gas",9.8,0.67613689311341,11452.7521750366
56152,"Natural Gas Fired Combined Cycle",260,0.502727200659564,3254.47504424931
56211,"Onshore Wind Turbine",37.5,0.348036529680365,9231.98635528733
56212,"Onshore Wind Turbine",91.5,0.370651495870449,9231.9954761488
56233,"Natural Gas Fired Combined Cycle",153.9,0.583602905357098,4759.8730312788
56240,"Onshore Wind Turbine",120.6,0.330798443096542,9232.00295300938
56270,"Onshore Wind Turbine",114,0.362394857005528,9232.00203369973
56291,"Onshore Wind Turbine",735.5,0.335183874542525,9231.9998814586
56311,"Onshore Wind Turbine",135,0.355794858785726,9231.99996197384
56337,"Onshore Wind Turbine",241,0.326854430739499,9231.99892180476
56349,"Natural Gas Fired Combined Cycle",550.4,0.125587986430368,6941.58679592906
56350,"Natural Gas Fired Combined Cycle",580.1,0.450846555351322,7255.7988040898
56372,"Onshore Wind Turbine",80.5,0.337876854136533,9231.99476211261
56374,"Natural Gas Fired Combustion Turbine",4.6,0.702054794520548,11539.3778720396
56374,"Petroleum Liquids",1.5,0.00159817351598174,11238.0952380952
56394,"Onshore Wind Turbine",124.2,0.283557232038471,9232.00694957667
56395,"Onshore Wind Turbine",200,0.308246575342466,9231.99974817053
56457,"Onshore Wind Turbine",84,0.400304414003044,9231.99687669745
56479,"Onshore Wind Turbine",90,0.196339421613394,9231.99865627867
56483,"Onshore Wind Turbine",200,0.325051940639269,9232.00015452395
56484,"Onshore Wind Turbine",232.5,0.330621593754603,9231.99931093578
56506,"Onshore Wind Turbine",130.5,0.38119718679473,9231.99939418556
56524,"Landfill Gas",6.4,0.848904823059361,11164.4779694493
56528,"Landfill Gas",6.4,0.85011772260274,10954.4281488009
56592,"Onshore Wind Turbine",126.5,0.278168823433862,9232
56593,"Onshore Wind Turbine",209,0.307194511808787,9231.99934568937
56602,"Onshore Wind Turbine",63,0.309632528810611,9232.00491573034
56611,"Conventional Steam Coal",1008,0.471592443103573,9330.5817037082
56638,"Onshore Wind Turbine",170.2,0.311666639838171,9231.99621244727
56644,"Onshore Wind Turbine",120,0.355502283105023,9232.00179821463
56649,"Onshore Wind Turbine",101.2,0.381568439005902,9232.00153725629
56661,"Onshore Wind Turbine",283.2,0.274597796223203,9232.00059891579
56673,"Onshore Wind Turbine",59.8,0.399680823444969,9231.9985480389
56674,"Natural Gas Fired Combustion Turbine",242,0.0197163100494358,10216.5944924277
56708,"Natural Gas Steam Turbine",310,0.226491751362498,13455.7710536028
56754,"Onshore Wind Turbine",149.6,0.317413406832222,9231.99805754756
56763,"Onshore Wind Turbine",662.5,0.315181183768416,9231.9996020018
56771,"Onshore Wind Turbine",60,0.330861872146119,9231.99981598726
56773,"Onshore Wind Turbine",150,0.455365296803653,9231.99966574747
56774,"Onshore Wind Turbine",169.5,0.338069260920516,9231.99899595993
56775,"Onshore Wind Turbine",120,0.382923325722983,9231.99819143465
56776,"Onshore Wind Turbine",120,0.246208143074581,9232.00058729435
56779,"Onshore Wind Turbine",150,0.279945205479452,9232.00343620191
56783,"Onshore Wind Turbine",121.9,0.332709646727425,9232.00162124735
56795,"Onshore Wind Turbine",201.6,0.288825809052693,9232.00495617277
